experiment,n,nnUNet_mean,Otsu_mean,delta,t_stat,p_value,significance
classifier_plain,3,0.8824948739956607,0.8779127625587105,0.004582111436950198,1.3850692745829603,0.30029307023466034,ns
classifier_roi,3,0.8784007462508643,0.8644513983262999,0.01394934792456437,3.951014912471613,0.058495081344807076,ns
classifier_masked_roi,3,0.8643231290084162,0.8307385022530577,0.03358462675535856,3.441095054393655,0.07506585029967387,ns
conditional_plain,3,0.8802766850249147,0.8803503564361156,-7.367141120084852e-05,-0.029830258591531093,0.9789115127113708,ns
conditional_roi,3,0.88228387335193,0.8641666070619651,0.018117266289964906,6.375523227436637,0.023729694423869973,*
conditional_masked_roi,3,0.8710639439238967,0.8256357437474668,0.0454282001764299,7.370836006357634,0.017913216131962322,*
