epoch,lr,train_threshold,train_accuracy,train_precision,train_recall_sensitivity,train_specificity,train_f1,train_roc_auc,train_pr_auc,train_ppv,train_npv,train_balanced_accuracy,train_tn,train_fp,train_fn,train_tp,train_loss,val_threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_roc_auc,val_pr_auc,val_ppv,val_npv,val_balanced_accuracy,val_tn,val_fp,val_fn,val_tp,val_loss
1,0.0008,0.5,0.6932683901586112,0.40127099409895595,0.7352370390906571,0.681067139518014,0.519185591229444,0.7774414083252368,0.4855091949277815,0.40127099409895595,0.8984582668793195,0.7081520893043356,8450,3957,955,2652,0.8811047073829125,0.5,0.7236743838685586,0.44787644787644787,0.7341772151898734,0.7204301075268817,0.5563549160671463,0.8090222354207655,0.5568647741362273,0.44787644787644787,0.8976857490864799,0.7273036613583777,737,286,84,232,0.8393716136851891
2,0.0008,0.5,0.7427251155239166,0.4585822703051833,0.787357915164957,0.7297493350527928,0.5795918367346938,0.8320944366145112,0.5839195001685324,0.4585822703051833,0.9219020466347623,0.7585536251088749,9054,3353,767,2840,0.7825449533017071,0.5,0.7408513816280806,0.46265060240963857,0.6075949367088608,0.7820136852394917,0.5253077975376197,0.7792265241223999,0.4819228531756738,0.46265060240963857,0.8658008658008658,0.6948043109741762,800,223,124,192,0.9428125339893373
3,0.0008,0.5,0.7487198701136506,0.4663546877521381,0.8012198502911007,0.7334569194809382,0.5895552835577316,0.8476090446718987,0.618901940822665,0.4663546877521381,0.926963430783335,0.7673383848860194,9100,3307,717,2890,0.7469233024115864,0.5,0.6474981329350261,0.39106145251396646,0.8860759493670886,0.5738025415444771,0.5426356589147286,0.8126260563990251,0.5193207761266206,0.39106145251396646,0.942215088282504,0.7299392454557828,587,436,36,280,0.8513630062363947
4,0.0008,0.5,0.7575246659173224,0.4776843467011643,0.8189631272525645,0.7396630934150077,0.6034112960882443,0.859294833628735,0.6332160520007858,0.4776843467011643,0.9335707019328586,0.779313110333786,9177,3230,653,2954,0.7210338864863045,0.5,0.7490664675130695,0.47925311203319504,0.7310126582278481,0.7546432062561095,0.5789473684210527,0.8103462142865981,0.5256496015327755,0.47925311203319504,0.9008168028004667,0.7428279322419788,772,251,85,231,0.8459652115196502
5,0.0008,0.5,0.7753840389659048,0.500835840855901,0.830607152758525,0.7593294108164745,0.6248826780686203,0.8765032412258934,0.6684778644971654,0.500835840855901,0.9390948963317385,0.7949682817874998,9421,2986,611,2996,0.6778839236864872,0.5,0.7557879014189693,0.48711943793911006,0.6582278481012658,0.7859237536656891,0.5598923283983849,0.8049033619164285,0.5510441402298978,0.48711943793911006,0.881578947368421,0.7220758008834774,804,219,108,208,0.918300846826683
6,0.0004,0.5,0.7831897090046209,0.5112781954887218,0.8483504297199889,0.7642459901668412,0.6380316930775647,0.8838509383112267,0.6810267491733011,0.5112781954887218,0.9454581713032206,0.8062982099434151,9482,2925,547,3060,0.6594910329240113,0.5,0.7259148618371919,0.4463157894736842,0.6708860759493671,0.7429130009775171,0.5360303413400759,0.805433881485331,0.5503795949817941,0.4463157894736842,0.8796296296296297,0.7068995384634421,760,263,104,212,0.8589203086159316
7,0.0004,0.5,0.8131634819532909,0.5540516786781509,0.8738563903520932,0.795518658821633,0.6781411359724613,0.9139610568445704,0.7479557258976489,0.5540516786781509,0.9559322033898305,0.834687524586863,9870,2537,455,3152,0.5687847507867948,0.5,0.7871545929798357,0.5741626794258373,0.379746835443038,0.9130009775171065,0.45714285714285713,0.8095388346511254,0.5623391478645414,0.5741626794258373,0.8265486725663717,0.6463739064800722,934,89,196,120,1.1889419130552519
8,0.0004,0.5,0.8402647683277132,0.5965396650101233,0.8985306348766288,0.8233255420327235,0.7170353982300885,0.934594637219851,0.7998755956882653,0.5965396650101233,0.9654096966260278,0.8609280884546762,10215,2192,366,3241,0.4940674595429654,0.5,0.7864077669902912,0.5441176470588235,0.5854430379746836,0.8484848484848485,0.5640243902439024,0.8154008438818565,0.5648901091017102,0.5441176470588235,0.8688688688688688,0.7169639432297661,868,155,131,185,1.0510908785019462
9,0.0004,0.5,0.8672411639815162,0.6455099233641187,0.9107291377876352,0.8545982106875151,0.7555197792088316,0.9487647370067904,0.8366758145283745,0.6455099233641187,0.9705263157894737,0.8826636742375751,10603,1804,322,3285,0.43977269942325437,0.5,0.760268857356236,0.49291784702549574,0.5506329113924051,0.8250244379276638,0.5201793721973094,0.7815558607718673,0.5004393933426567,0.49291784702549574,0.8559837728194726,0.6878286746600344,844,179,142,174,1.155266666252102
10,0.0004,0.5,0.880854252529037,0.6702063714686436,0.9273634599390075,0.8673329572015798,0.7780879274249826,0.9608382847453533,0.8751185370954402,0.6702063714686436,0.9762315159212556,0.8973482085702936,10761,1646,262,3345,0.38424054693011467,0.5,0.7781926811053025,0.5326460481099656,0.49050632911392406,0.8670576735092864,0.5107084019769358,0.7995564052117748,0.5555470933962853,0.5326460481099656,0.8463740458015268,0.6787820013116053,887,136,161,155,1.5230658731414277
