epoch,lr,train_threshold,train_accuracy,train_precision,train_recall_sensitivity,train_specificity,train_f1,train_roc_auc,train_pr_auc,train_ppv,train_npv,train_balanced_accuracy,train_tn,train_fp,train_fn,train_tp,train_loss,val_threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_roc_auc,val_pr_auc,val_ppv,val_npv,val_balanced_accuracy,val_tn,val_fp,val_fn,val_tp,val_loss
1,0.0008,0.5,0.7434120144873236,0.45830564784053157,0.7649015802606044,0.7371645039090836,0.5731795990443544,0.830889832552695,0.5918054234304828,0.45830564784053157,0.9151490894536722,0.751033042084844,9146,3261,848,2759,0.7856230822278868,0.5,0.3382463152635523,0.25564334085778784,0.9880043620501636,0.14517174335709657,0.406186953597848,0.8090749654930169,0.5190363947489862,0.25564334085778784,0.9760348583877996,0.5665880527036301,448,2638,11,906,1.0001725685647092
2,0.0008,0.5,0.7704508555014362,0.4941196522924834,0.8037149986138065,0.7607802047231401,0.6119907114207305,0.8664730300952254,0.6609432518827543,0.4941196522924834,0.9302256824677244,0.7822476016684733,9439,2968,708,2899,0.7058712526908361,0.5,0.6694978765925556,0.40193236714975844,0.9073064340239912,0.5988334413480233,0.5570806829594911,0.8600359310807383,0.6503653146897214,0.40193236714975844,0.9560269011898603,0.7530699376860073,1848,1238,85,832,0.8003512377623406
3,0.0008,0.5,0.7828774822030723,0.5111760660247593,0.824230662600499,0.7708551624083179,0.6310092327284305,0.878694068287242,0.6798390146884211,0.5111760660247593,0.9378309472445577,0.7975429125044085,9564,2843,634,2973,0.6784065470678226,0.5,0.809642767924057,0.6534653465346535,0.35986913849509267,0.9432922877511342,0.4641350210970464,0.8460135158534232,0.6204793657801377,0.6534653465346535,0.8321898227558605,0.6515807131231134,2911,175,587,330,0.9073258109042682
4,0.0008,0.5,0.7957412264268765,0.53012912482066,0.8195176046576103,0.7888288869186749,0.6437983229881302,0.8882431059190161,0.7043052470467508,0.53012912482066,0.9376317302165166,0.8041732457881425,9787,2620,651,2956,0.6491523380060388,0.5,0.785910567074694,0.532967032967033,0.5288985823336968,0.8622812702527544,0.5309250136836344,0.8118205057349087,0.5372640019070081,0.532967032967033,0.8603297769156159,0.6955899262932256,2661,425,432,485,0.9507901128637413
5,0.0004,0.5,0.7914324965655052,0.5230212105535437,0.8408649847518713,0.7770613363423874,0.6449075058473315,0.8909518869180716,0.710054216513719,0.5230212105535437,0.9438081253059226,0.8089631605471294,9641,2766,574,3033,0.6403346091631692,0.5,0.7911566325256058,0.5376044568245125,0.6314067611777535,0.8386260531432275,0.5807422266800402,0.8346654359823907,0.5645378960785277,0.5376044568245125,0.8844839371155161,0.7350164071604905,2588,498,338,579,0.9175003106195629
6,0.0004,0.5,0.8141626077182466,0.5573115349682107,0.8505683393401718,0.8035786249697752,0.6733977172958736,0.9068815597694757,0.7458078166527383,0.5573115349682107,0.9487106289846798,0.8270734821549734,9970,2437,539,3068,0.5936792032748732,0.5,0.22932800399700226,0.22913543228385808,1.0,0.0003240440699935191,0.37284000813173407,0.5695553352071585,0.3090591390061402,0.22913543228385808,1.0,0.5001620220349967,1,3085,0,917,1.1866233607336727
7,0.0004,0.5,0.8311477457224928,0.583968755811791,0.8705295259218186,0.8196985572660594,0.699020480854853,0.9215428772881439,0.7777546409127725,0.583968755811791,0.9560966437905425,0.8451140415939391,10170,2237,467,3140,0.5456602891926404,0.5,0.6575068698476143,0.38672654690618763,0.8451472191930207,0.601749837977965,0.5306401917151661,0.8070397072366075,0.5438616539857873,0.38672654690618763,0.9289644822411206,0.7234485285854928,1857,1229,142,775,0.9117186884268981
