epoch,lr,train_threshold,train_accuracy,train_precision,train_recall_sensitivity,train_specificity,train_f1,train_roc_auc,train_pr_auc,train_ppv,train_npv,train_balanced_accuracy,train_tn,train_fp,train_fn,train_tp,train_loss,val_threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_roc_auc,val_pr_auc,val_ppv,val_npv,val_balanced_accuracy,val_tn,val_fp,val_fn,val_tp,val_loss
1,0.0008,0.5,0.6977644561009118,0.4060356652949246,0.7385639035209315,0.6859031192068993,0.5239968528717546,0.7879261908208941,0.5142966138721551,0.4060356652949246,0.9002433090024331,0.7122335113639153,8510,3897,943,2664,0.8643028072178163,0.5,0.7012696041822255,0.42579505300353354,0.7626582278481012,0.6823069403714564,0.546485260770975,0.7925158073177673,0.5054040567541547,0.42579505300353354,0.9029754204398448,0.7224825841097788,698,325,75,241,0.8664365660084816
2,0.0008,0.5,0.7482203072311727,0.4649629018961253,0.7818131411144996,0.7384540984927863,0.5831265508684863,0.8362485145652213,0.5913845942304162,0.4649629018961253,0.9208965725198512,0.760133619803643,9162,3245,787,2820,0.774121854551517,0.5,0.5586258401792382,0.3361144219308701,0.8924050632911392,0.4555229716520039,0.4883116883116883,0.7856051325834912,0.5206863775206125,0.3361144219308701,0.932,0.6739640174715715,466,557,34,282,0.9236025552503915
3,0.0008,0.5,0.7598351442487823,0.48019227581634344,0.8031605212087607,0.7472394615942614,0.6010373443983402,0.8538885225121201,0.6212210672389391,0.48019227581634344,0.928864843202084,0.7751999914015111,9271,3136,710,2897,0.7358901030013546,0.5,0.7752053771471247,0.5201072386058981,0.6139240506329114,0.8250244379276638,0.5631349782293179,0.8008154224977417,0.5604211707616354,0.5201072386058981,0.8737060041407867,0.7194742442802876,844,179,122,194,0.9740402994982069
4,0.0008,0.5,0.7667665792431623,0.48921469497809233,0.804823953423898,0.7557024260498106,0.6085316004611676,0.8623599670263142,0.6404244710869795,0.48921469497809233,0.9301587301587302,0.7802631897368544,9376,3031,704,2903,0.7135372321838235,0.5,0.45332337565347275,0.29766536964980544,0.9683544303797469,0.29423264907135877,0.45535714285714285,0.7856484403034015,0.5078065384536704,0.29766536964980544,0.9678456591639871,0.6312935397255528,301,722,10,306,1.0847057833254916
5,0.0008,0.5,0.7830023729236918,0.5112054329371817,0.8347657332963682,0.7679535745949867,0.634094977361272,0.8799847689655507,0.6677784576177083,0.5112054329371817,0.9411299881469775,0.8013596539456774,9528,2879,596,3011,0.6660290798161886,0.5,0.607916355489171,0.3633986928104575,0.879746835443038,0.5239491691104594,0.5143385753931545,0.7815187398690869,0.4766203479637754,0.3633986928104575,0.9337979094076655,0.7018480022767487,536,487,38,278,0.8915541068309274
6,0.0004,0.5,0.787560884226302,0.51768155942729,0.8319933462711394,0.7746433464979448,0.6382390472139515,0.8866153592207588,0.6915936993471412,0.51768155942729,0.9406870901438779,0.8033183463845421,9611,2796,606,3001,0.6505957125307276,0.5,0.6908140403286034,0.41403508771929826,0.7468354430379747,0.6735092864125122,0.5327313769751693,0.7707629582884788,0.48328656983737184,0.41403508771929826,0.8959687906371911,0.7101723647252434,689,334,80,236,0.9114727062730312
7,0.0004,0.5,0.8340826776570501,0.5883885374023075,0.8766287773773219,0.821713548803095,0.7041532123371562,0.9261491133065216,0.7784460596456089,0.5883885374023075,0.9581766917293233,0.8491711630902085,10195,2212,445,3162,0.5285750748111586,0.5,0.7759522031366691,0.531496062992126,0.4272151898734177,0.8836754643206256,0.47368421052631576,0.7892306074217058,0.4999338521744839,0.531496062992126,0.8331797235023042,0.6554453270970216,904,119,181,135,1.2313133518672683
8,0.0004,0.5,0.8681778443861621,0.6492418196328811,0.9021347380094261,0.8583057951156605,0.7550759948949994,0.9507926776715855,0.84974344585097,0.6492418196328811,0.967914924559171,0.8802202665625434,10649,1758,353,3254,0.4352665219702077,0.5,0.80134428678118,0.5984251968503937,0.4810126582278481,0.9002932551319648,0.5333333333333333,0.8164340423425764,0.5956702922407366,0.5984251968503937,0.8488479262672811,0.6906529566799064,921,102,164,152,1.4500982408384675
9,0.0004,0.5,0.9031472461596104,0.722318339100346,0.9259772664263931,0.8965100346578544,0.8115660308589479,0.970291918924204,0.9050622940767571,0.722318339100346,0.976558384547849,0.9112436505421238,11123,1284,267,3340,0.33864522716131673,0.5,0.5847647498132935,0.3473282442748092,0.8639240506329114,0.49853372434017595,0.4954627949183303,0.7555031738371878,0.44029331084513723,0.3473282442748092,0.9222423146473779,0.6812288874865438,510,513,43,273,1.354056146627402
10,0.0004,0.5,0.922817534657175,0.766824217870808,0.9445522594954255,0.916498750705247,0.8464596273291926,0.9807100005633261,0.936347285136896,0.766824217870808,0.9827154092126869,0.9305255051003363,11371,1036,200,3407,0.27024643758500994,0.5,0.777445855115758,0.576271186440678,0.21518987341772153,0.9511241446725318,0.31336405529953915,0.78391303809842,0.5087671433649394,0.576271186440678,0.7968877968877969,0.5831570090451267,973,50,248,68,2.792278510585839
