epoch,lr,train_threshold,train_accuracy,train_precision,train_recall_sensitivity,train_specificity,train_f1,train_roc_auc,train_pr_auc,train_ppv,train_npv,train_balanced_accuracy,train_tn,train_fp,train_fn,train_tp,train_loss,val_threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_roc_auc,val_pr_auc,val_ppv,val_npv,val_balanced_accuracy,val_tn,val_fp,val_fn,val_tp,val_loss
1,0.0008,0.5,0.7409142000749345,0.45586319218241045,0.7759911283615193,0.7307165309905699,0.5743305632502308,0.8380403543086932,0.6140156162422896,0.45586319218241045,0.9181689284990885,0.7533538296760446,9066,3341,808,2799,0.769272919204093,0.5,0.7968633308439134,0.5544554455445545,0.7088607594936709,0.8240469208211144,0.6222222222222222,0.8655666505809421,0.6687675626840848,0.5544554455445545,0.9016042780748663,0.7664538401573926,843,180,92,224,0.7612090415256606
2,0.0008,0.5,0.7756338204071438,0.5012010981468772,0.8098142500693096,0.7656967840735069,0.619183889772125,0.8707868772667817,0.6702582343589241,0.5012010981468772,0.9326526605144315,0.7877555170714083,9500,2907,686,2921,0.6963680316494603,0.5,0.818521284540702,0.689119170984456,0.4208860759493671,0.9413489736070382,0.5225933202357563,0.8541581597931128,0.658695744101857,0.689119170984456,0.8403141361256544,0.6811175247782026,963,60,183,133,1.04951116195626
3,0.0008,0.5,0.789621581116523,0.5209507042253522,0.8203493207651789,0.7806883211090514,0.6372348444061592,0.8822335598533153,0.6869412671513115,0.5209507042253522,0.9372943681052835,0.8005188209371151,9686,2721,648,2959,0.6669345341089649,0.5,0.8259895444361464,0.6627450980392157,0.5348101265822784,0.9159335288367546,0.5919439579684763,0.8578485962111932,0.6670135283764679,0.6627450980392157,0.8643911439114391,0.7253718277095165,937,86,147,169,0.8752034197911297
4,0.0004,0.5,0.7951167728237792,0.528757939308398,0.830884391461048,0.7847183041831224,0.6462533692722372,0.8907176071424127,0.7109082780884941,0.528757939308398,0.941040015464914,0.8078013478220851,9736,2671,610,2997,0.6411609270048004,0.5,0.8162808065720687,0.6277372262773723,0.5443037974683544,0.9002932551319648,0.5830508474576271,0.855522352970291,0.6433014814001832,0.6277372262773723,0.8647887323943662,0.7222985263001596,921,102,144,172,0.8630780066190326
5,0.0004,0.5,0.8057324840764332,0.5440810522573765,0.8486276684225118,0.7932618683001531,0.6630564280298927,0.9046448353683202,0.7417019115878191,0.5440810522573765,0.9474393530997305,0.8209447683613325,9842,2565,546,3061,0.598902426178988,0.5,0.7923823749066468,0.5435779816513762,0.75,0.8054740957966764,0.6303191489361702,0.8694272244700991,0.6771035678078007,0.5435779816513762,0.9125138427464009,0.7777370478983382,824,199,79,237,0.7518981606591718
6,0.0004,0.5,0.8194704633445735,0.56511458712259,0.8613806487385639,0.8072862093979205,0.6824821526633718,0.9161631794781062,0.7654418753629639,0.56511458712259,0.9524534043362495,0.8343334290682423,10016,2391,500,3107,0.5619638665451664,0.5,0.8058252427184466,0.5717948717948718,0.7056962025316456,0.8367546432062561,0.6317280453257791,0.8635744954650632,0.6556635084014986,0.5717948717948718,0.9020021074815595,0.7712254228689508,856,167,93,223,0.7884250656271088
7,0.0004,0.5,0.8347071312601474,0.5897867564534232,0.874133629054616,0.823244942371242,0.7043449123198928,0.9272299129811912,0.7906078077467303,0.5897867564534232,0.9574428196475441,0.848689285712929,10214,2193,454,3153,0.5249556522028744,0.5,0.6855862584017924,0.41910631741140214,0.8607594936708861,0.6314760508308895,0.5637305699481865,0.8546500117549526,0.6687410081462999,0.41910631741140214,0.936231884057971,0.7461177722508878,646,377,44,272,0.7484765786836182
8,0.0002,0.5,0.8446983889097041,0.6070336391437309,0.8805101192126421,0.8342870959941968,0.7186333295621676,0.9335037709670009,0.8041817518360396,0.6070336391437309,0.9600259692079391,0.8573986076034195,10351,2056,431,3176,0.5043680797292303,0.5,0.7961165048543689,0.5496535796766744,0.7531645569620253,0.8093841642228738,0.6355140186915887,0.8688240097999184,0.6502095941026238,0.5496535796766744,0.9139072847682119,0.7812743605924496,828,195,78,238,0.7756583199650605
9,0.0002,0.5,0.8729236917697015,0.656761069006781,0.9129470474078182,0.8612879825904731,0.7639484978540773,0.9549812903538786,0.8598160676478419,0.656761069006781,0.9714545454545455,0.8871175149991457,10686,1721,314,3293,0.4127289525865839,0.5,0.7423450336071695,0.47424511545293074,0.8449367088607594,0.7106549364613881,0.6075085324232082,0.8578114753084128,0.6301169356209416,0.47424511545293074,0.9368556701030928,0.7777958226610737,727,296,49,267,0.8731042885620083
10,0.0002,0.5,0.8920319720244786,0.6946517412935324,0.9290268921541447,0.8812766986378657,0.794923496619618,0.9665129411169531,0.89399272104468,0.6946517412935324,0.9771224307417337,0.9051517953960052,10934,1473,256,3351,0.3568436240002027,0.5,0.8244958924570575,0.6694560669456067,0.5063291139240507,0.9227761485826002,0.5765765765765766,0.868155833549872,0.6708149706903075,0.6694560669456067,0.8581818181818182,0.7145526312533255,944,79,156,160,1.324034746811406
