epoch,lr,train_threshold,train_accuracy,train_precision,train_recall_sensitivity,train_specificity,train_f1,train_roc_auc,train_pr_auc,train_ppv,train_npv,train_balanced_accuracy,train_tn,train_fp,train_fn,train_tp,train_loss,val_threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_roc_auc,val_pr_auc,val_ppv,val_npv,val_balanced_accuracy,val_tn,val_fp,val_fn,val_tp,val_loss
1,0.0008,0.5,0.7086923941551143,0.41445666235446316,0.7105627945661215,0.7081486257757718,0.5235420283934226,0.7769403921594741,0.49076222221236177,0.41445666235446316,0.893794506612411,0.7093557101709467,8786,3621,1044,2563,0.8847496063131302,0.5,0.80134428678118,0.6190476190476191,0.41139240506329117,0.9217986314760508,0.49429657794676807,0.8098327084648033,0.5598156382918986,0.6190476190476191,0.8352524357838795,0.666595518269671,943,80,186,130,1.1134366593403635
2,0.0008,0.5,0.7466591732234295,0.46218487394957986,0.7624064319378985,0.7420810832594503,0.5754944020089986,0.8275078645002377,0.582828299354852,0.46218487394957986,0.9148449920508744,0.7522437575986745,9207,3200,857,2750,0.7932662581316582,0.5,0.731142643764003,0.4578544061302682,0.7563291139240507,0.7233626588465298,0.5704057279236276,0.813569546011359,0.5344629976333926,0.4578544061302682,0.9057527539779682,0.7398458863852903,740,283,77,239,0.8296759185994
3,0.0008,0.5,0.7411639815161734,0.4574905183312263,0.802606043803715,0.7233013621342791,0.5827881227981883,0.8432288876873548,0.6046926942848488,0.4574905183312263,0.9264918438984101,0.762953702968997,8974,3433,712,2895,0.7600954733895976,0.5,0.6915608663181478,0.4231378763866878,0.8449367088607594,0.6441837732160313,0.5638859556494192,0.8268959501095068,0.577876003503758,0.4231378763866878,0.9307909604519774,0.7445602410383954,659,364,49,267,0.8088300332282353
4,0.0008,0.5,0.7607718246534283,0.48143236074270557,0.8051011921264208,0.7478842588861127,0.6025521319638967,0.8566450555146647,0.634995139530833,0.48143236074270557,0.9295732318172711,0.7764927255062668,9279,3128,703,2904,0.7284053115045531,0.5,0.590739357729649,0.35572139303482586,0.9050632911392406,0.49364613880742914,0.5107142857142857,0.8107189700186842,0.5628354662148388,0.35572139303482586,0.9439252336448598,0.6993547149733348,505,518,30,286,0.8977126011748737
5,0.0008,0.5,0.7695141750967903,0.4930875576036866,0.830607152758525,0.7517530426372209,0.6188164824950945,0.8723894631059239,0.6575911836763527,0.4930875576036866,0.9385188166633125,0.7911800976978729,9327,3080,611,2996,0.6884316739196915,0.5,0.7341299477221808,0.45867768595041325,0.7025316455696202,0.7438905180840665,0.555,0.8073239541185643,0.5332284923493755,0.45867768595041325,0.8900584795321638,0.7232110818268433,761,262,94,222,0.8429266542886246
6,0.0004,0.5,0.7789434245035594,0.5055879899916598,0.8403105073468257,0.7611026033690659,0.631326806915226,0.8816598989690954,0.6746654880340974,0.5055879899916598,0.9425092324583292,0.8007065553579458,9443,2964,576,3031,0.6640474791382082,0.5,0.7154592979835698,0.44014732965009207,0.7563291139240507,0.7028347996089932,0.5564610011641443,0.8047935459123698,0.5418442826303219,0.44014732965009207,0.9032663316582915,0.7295819567665219,719,304,77,239,0.8470099623564734
7,0.0004,0.5,0.8197202447858124,0.5652883569096845,0.8641530357637927,0.806802611429032,0.6834776888499068,0.9140511197599019,0.7447394341368807,0.5652883569096845,0.9533333333333334,0.8354778235964123,10010,2397,490,3117,0.5698604353495241,0.5,0.7415982076176251,0.46710526315789475,0.6740506329113924,0.7624633431085044,0.5518134715025906,0.8028137644307509,0.5126283554971943,0.46710526315789475,0.883352208380521,0.7182569880099484,780,243,103,213,0.9147190514832312
8,0.0004,0.5,0.8427001373797927,0.6009276437847867,0.897976157471583,0.8266301281534617,0.7200177837056797,0.9357588408968716,0.8033168976670144,0.6009276437847867,0.9653614457831325,0.8623031428125223,10256,2151,368,3239,0.495092471649067,0.5,0.7184466019417476,0.4396039603960396,0.7025316455696202,0.7233626588465298,0.5408038976857491,0.7916713067795142,0.5241244666168305,0.4396039603960396,0.8872901678657075,0.712947152208075,740,283,94,222,1.0398045453320162
