epoch,lr,train_threshold,train_accuracy,train_precision,train_recall_sensitivity,train_specificity,train_f1,train_roc_auc,train_pr_auc,train_ppv,train_npv,train_balanced_accuracy,train_tn,train_fp,train_fn,train_tp,train_loss,val_threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_roc_auc,val_pr_auc,val_ppv,val_npv,val_balanced_accuracy,val_tn,val_fp,val_fn,val_tp,val_loss
1,0.0008,0.5,0.7342325465217935,0.4479550922213312,0.7743276961463821,0.7225759651809462,0.5675675675675675,0.8230349296408752,0.577851480829668,0.4479550922213312,0.9167604049493814,0.7484518306636642,8965,3442,814,2793,0.7990603693210186,0.5,0.772218073188947,0.512087912087912,0.7373417721518988,0.782991202346041,0.6044098573281452,0.8473681279928729,0.6068876003675039,0.512087912087912,0.9061085972850679,0.76016648724897,801,222,83,233,0.786846881797725
2,0.0008,0.5,0.7622705133008617,0.4831932773109244,0.7970612697532575,0.7521560409446281,0.6016532384639531,0.8532300163507598,0.618260636453975,0.4831932773109244,0.9272655007949125,0.7746086553489429,9332,3075,732,2875,0.7372408246478889,0.5,0.7759522031366691,0.5173160173160173,0.7563291139240507,0.7820136852394917,0.6143958868894601,0.8649139413737208,0.6767387544649401,0.5173160173160173,0.9122006841505131,0.7691713995817712,800,223,77,239,0.7301373236476707
3,0.0008,0.5,0.7744473585612589,0.49957490222751233,0.8145273080121985,0.7627951962601757,0.6193086003372681,0.8681800022162114,0.6626461421398347,0.49957490222751233,0.933978091384585,0.7886612521361871,9464,2943,669,2938,0.7010747701826652,0.5,0.7274085138162808,0.45797598627787306,0.8449367088607594,0.6911045943304008,0.5939933259176863,0.8513988393531063,0.6453427578726697,0.45797598627787306,0.9351851851851852,0.7680206515955801,707,316,49,267,0.7579952269191613
4,0.0008,0.5,0.7883726739103285,0.5190759537976899,0.8222899916828389,0.778512130249053,0.6364124021027787,0.8821960085000801,0.6862897902095366,0.5190759537976899,0.9377669902912621,0.800401060965946,9659,2748,641,2966,0.6652599682339839,0.5,0.7677371172516804,0.5053995680345572,0.740506329113924,0.7761485826001955,0.6007702182284981,0.8585167724612396,0.6729310362018367,0.5053995680345572,0.906392694063927,0.7583274558570597,794,229,82,234,0.7511373744516607
5,0.0004,0.5,0.7881853378293993,0.5186018342273749,0.830884391461048,0.7757717417586846,0.638610696782442,0.8851227013091624,0.6918358134342394,0.5186018342273749,0.940400586223742,0.8033280666098663,9625,2782,610,2997,0.6561901847997884,0.5,0.8035847647498133,0.5681233933161953,0.6993670886075949,0.8357771260997068,0.6269503546099291,0.8601531855921403,0.6644793795905316,0.5681233933161953,0.9,0.7675721073536508,855,168,95,221,0.8220161171525695
6,0.0004,0.5,0.8072936180841763,0.546261765228201,0.8527862489603548,0.7940678649149674,0.6659450097423685,0.9030087203381458,0.7350208695451537,0.546261765228201,0.9488587113550997,0.8234270569376612,9852,2555,531,3076,0.6061394055550414,0.5,0.7893950709484691,0.5408653846153846,0.7120253164556962,0.8132942326490714,0.6147540983606558,0.8629681873863173,0.6676330350738372,0.5408653846153846,0.9014084507042254,0.7626597745523838,832,191,91,225,0.7682320811216113
7,0.0004,0.5,0.829024603471962,0.5797394017250872,0.8757970612697532,0.8154267752075441,0.6976590106007067,0.9206427285597583,0.7716203262577958,0.5797394017250872,0.9575958353052532,0.8456119182386487,10117,2290,448,3159,0.5494829028141369,0.5,0.7468259895444361,0.4779270633397313,0.7879746835443038,0.7341153470185728,0.5949820788530465,0.8562523973916378,0.6665923922996232,0.4779270633397313,0.9180929095354523,0.7610450152814383,751,272,67,249,0.7501046207522705
