epoch,lr,train_threshold,train_accuracy,train_precision,train_recall_sensitivity,train_specificity,train_f1,train_roc_auc,train_pr_auc,train_ppv,train_npv,train_balanced_accuracy,train_tn,train_fp,train_fn,train_tp,train_loss,val_threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_roc_auc,val_pr_auc,val_ppv,val_npv,val_balanced_accuracy,val_tn,val_fp,val_fn,val_tp,val_loss
1,0.0008,0.5,0.7505932309229424,0.4679051252280644,0.7820903798170225,0.7414362859675989,0.5855126608551267,0.8400989192695958,0.6180424473188683,0.4679051252280644,0.9212819228843265,0.7617633328923107,9199,3208,786,2821,0.7672808759442069,0.5,0.7714712471994025,0.5103734439834025,0.7784810126582279,0.7693059628543499,0.6165413533834586,0.8582290854646919,0.6531624310241149,0.5103734439834025,0.9183197199533255,0.7738934877562889,787,236,70,246,0.7973150970599293
2,0.0008,0.5,0.7776945172973648,0.5040890899599791,0.8031605212087607,0.7702909647779479,0.619414154372461,0.8721533174939097,0.6670905610423068,0.5040890899599791,0.9308464010908737,0.7867257429933543,9557,2850,710,2897,0.6924376394011129,0.5,0.7826736370425691,0.5266524520255863,0.7816455696202531,0.782991202346041,0.6292993630573248,0.8692601804075876,0.6641893626318128,0.5266524520255863,0.9206896551724137,0.7823183859831471,801,222,69,247,0.7395886321669644
3,0.0008,0.5,0.7892469089546646,0.5202161031718369,0.8275575270307735,0.7781091319416459,0.6388443017656501,0.8853133853156088,0.7005966551507692,0.5202161031718369,0.9394706111327364,0.8028333294862097,9654,2753,622,2985,0.6567640966715192,0.5,0.690067214339059,0.4266666666666667,0.9113924050632911,0.6217008797653959,0.5812310797174571,0.8616380217033546,0.667671484870186,0.4266666666666667,0.9578313253012049,0.7665466424143434,636,387,28,288,0.7678914457403786
4,0.0008,0.5,0.7892469089546646,0.519986216402481,0.8367064042140283,0.7754493431127589,0.6413771118903411,0.8901322149517669,0.706861355469589,0.519986216402481,0.942311459353575,0.8060778736633936,9621,2786,589,3018,0.6423287504812417,0.5,0.8103061986557132,0.5767326732673267,0.7373417721518988,0.8328445747800587,0.6472222222222223,0.871097665095215,0.6877764015182343,0.5767326732673267,0.9112299465240642,0.7850931734659787,852,171,83,233,0.7390464663594583
5,0.0008,0.5,0.8012988634944423,0.5376973567500444,0.8403105073468257,0.7899572821794149,0.6557767200346171,0.8970142126900156,0.7257054050166173,0.5376973567500444,0.9444926279271466,0.8151338947631203,9801,2606,576,3031,0.6239280252327436,0.5,0.7737117251680359,0.5137420718816068,0.7689873417721519,0.7751710654936461,0.6159695817490495,0.8667390524270884,0.6584365763137792,0.5137420718816068,0.9157043879907621,0.772079203632899,793,230,73,243,0.7389169299753857
6,0.0008,0.5,0.8117272386661671,0.553487531622696,0.8491821458275576,0.8008382364794068,0.6701673777486051,0.9062714759719717,0.7427985680313985,0.553487531622696,0.9480916030534351,0.8250101911534822,9936,2471,544,3063,0.5966737970618611,0.5,0.8312173263629574,0.6541095890410958,0.6044303797468354,0.9012707722385142,0.6282894736842105,0.8674907507083905,0.6965368721031371,0.6541095890410958,0.8806112702960841,0.7528505759926748,922,101,125,191,0.8913497540201154
7,0.0004,0.5,0.8152866242038217,0.5580189522617558,0.8652619905738841,0.8007576368179253,0.6784782608695652,0.9143552287404763,0.7674027392409344,0.5580189522617558,0.9533634008252567,0.8330098136959048,9935,2472,486,3121,0.5672652786838378,0.5,0.6796116504854369,0.41478129713423834,0.870253164556962,0.6207233626588465,0.5617977528089888,0.8564349084969747,0.6778925929589831,0.41478129713423834,0.9393491124260355,0.7454882636079043,635,388,41,275,0.8229430567603934
8,0.0004,0.5,0.8264643436992631,0.5753823743627094,0.8760742999722761,0.8120415894253245,0.6945818221782614,0.9255965799465404,0.7877916667852941,0.5753823743627094,0.9575175822087055,0.8440579446988004,10075,2332,447,3160,0.531626001180923,0.5,0.813293502613891,0.625,0.5221518987341772,0.9032258064516129,0.5689655172413793,0.8574557333234344,0.6546993504672598,0.625,0.8595348837209302,0.712688852592895,924,99,151,165,1.0544445859664764
9,0.0004,0.5,0.8501935806169602,0.6162432640492687,0.8877183254782368,0.839284275006045,0.7274792684312167,0.9383887093080363,0.8163092964352167,0.6162432640492687,0.9625623960066556,0.8635013002421409,10413,1994,405,3202,0.4807079901733365,0.5,0.772218073188947,0.5112016293279023,0.7943037974683544,0.7653958944281525,0.6220570012391574,0.8690312681737753,0.6604358097085679,0.5112016293279023,0.9233490566037735,0.7798498459482535,783,240,65,251,0.7795795760909686
